source,target,value
Constraint data,Setpoint value for dedusting valve opening of V2-3 slag skimmer at main iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V2-4 residual iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V2-5 swinging spout,1
Constraint data,Setpoint value for dedusting valve opening of V2-6 swinging spout at main iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V2-7 swinging spout at main slag channel,1
Constraint data,Setpoint value for dedusting valve opening of V2-8 top suction swinging spout,1
Constraint data,Setpoint value for dedusting valve opening of V3-1 side suction main pipe,1
Constraint data,Setpoint value for dedusting valve opening of V3-2 slag skimmer,1
Constraint data,Setpoint value for dedusting valve opening of V3-3 slag skimmer at main iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V3-4 residual iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V3-5 swinging spout,1
Constraint data,Setpoint value for dedusting valve opening of V3-6 swinging spout at main iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V3-7 swinging spout at main slag channel,1
Constraint data,Setpoint value for dedusting valve opening of V3-8 top suction swinging spout,1
Constraint data,Setpoint value for dedusting valve opening of V4-1 side suction main pipe,1
Constraint data,Setpoint value for dedusting valve opening of V4-2 slag skimmer,1
Constraint data,Setpoint value for dedusting valve opening of V4-3 slag skimmer at main iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V4-4 residual iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V4-5 swinging spout,1
Constraint data,Setpoint value for dedusting valve opening of V4-6 swinging spout at main iron channel,1
Constraint data,Setpoint value for dedusting valve opening of V4-7 swinging spout at main slag channel,1
Constraint data,Setpoint value for dedusting valve opening of V4-8 top suction swinging spout,1
Discrete time-series data,Feedback value for dedusting valve opening of v1-1 side suction main pipe,1
Discrete time-series data,Feedback value for dedusting valve opening of v1-2 slag skimmer,1
Discrete time-series data,Feedback value for dedusting valve opening of V1-3 slag skimmer at main iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of v1-4 residual iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V1-5 swinging spout,1
Discrete time-series data,Feedback value for dedusting valve opening of V1-6 swinging spout at main iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V1-7 swinging spout at main slag channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V1-8 top suction swinging spout,1
Discrete time-series data,Feedback value for dedusting valve opening of V2-1 side suction main pipe,1
Discrete time-series data,Feedback value for dedusting valve opening of V2-2 slag skimmer,1
Discrete time-series data,Feedback value for dedusting valve opening of V2-3 slag skimmer at main iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V2-4 residual iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V2-5 swinging spout,1
Discrete time-series data,Feedback value for dedusting valve opening of V2-6 swinging spout at main iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V2-7 swinging spout at main slag channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V2-8 top suction swinging spout,1
Discrete time-series data,Feedback value for dedusting valve opening of V3-1 side suction main pipe,1
Discrete time-series data,Feedback value for dedusting valve opening of V3-2 slag skimmer,1
Discrete time-series data,Feedback value for dedusting valve opening of V3-3 slag skimmer at main iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V3-4 residual iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V3-5 swinging spout,1
Discrete time-series data,Feedback value for dedusting valve opening of V3-6 swinging spout at main iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V3-7 swinging spout at main slag channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V3-8 top suction swinging spout,1
Discrete time-series data,Feedback value for dedusting valve opening of V4-1 side suction main pipe,1
Discrete time-series data,Feedback value for dedusting valve opening of V4-2 slag skimmer,1
Discrete time-series data,Feedback value for dedusting valve opening of V4-3 slag skimmer at main iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V4-4 residual iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V4-5 swinging spout,1
Discrete time-series data,Feedback value for dedusting valve opening of V4-6 swinging spout at main iron channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V4-7 swinging spout at main slag channel,1
Discrete time-series data,Feedback value for dedusting valve opening of V4-8 top suction swinging spout,1
Binary status data,Blow-off condition,1
Binary status data,Operating mode,1
Discrete time-series data,Accumulated usage days,1
Discrete time-series data,Last replacement date,1
Continuous time-series data,Monitored value of carbon monoxide,1
Continuous time-series data,Converted value of carbon monoxide,1
Continuous time-series data,Monitored value of oxygen content,1
Continuous time-series data,Actual value of ammonia gas,1
Continuous time-series data,Converted value of ammonia gas,1
Continuous time-series data,Actual value of sulfur dioxide,1
Continuous time-series data,Converted value of sulfur dioxide,1
Continuous time-series data,Actual value of flue dust,1
Continuous time-series data,Converted value of flue dust,1
Discrete time-series data,Hourly value of carbon monoxide,1
Discrete time-series data,Hourly converted value of carbon monoxide,1
Discrete time-series data,Emission standard of carbon monoxide,1
Discrete time-series data,Hourly value of oxygen content,1
Discrete time-series data,Emission standard of oxygen content,1
Discrete time-series data,Hourly value of ammonia gas,1
Discrete time-series data,Hourly converted value of ammonia gas,1
Discrete time-series data,Emission standard of ammonia gas,1
Discrete time-series data,Hourly value of sulfur dioxide,1
Discrete time-series data,Hourly converted value of sulfur dioxide,1
Discrete time-series data,Emission standard of sulfur dioxide,1
Discrete time-series data,Hourly value of flue dust,1
Discrete time-series data,Hourly converted value of flue dust,1
Discrete time-series data,Emission standard of flue dust,1
Continuous time-series data,Bakeout temperature of 1# taphole,1
Continuous time-series data,Bakeout temperature of 2# taphole,1
Continuous time-series data,Bakeout temperature of 3# taphole,1
Continuous time-series data,Bakeout temperature of 4# taphole,1
Continuous time-series data,Temperature of main hot blast pipe,1
Binary status data,Fault and alarm about UPS,1
Binary status data,Low voltage alarm of battery,1
Binary status data,Power failure alarm,1
Binary status data,Fault and alarm about rectifier,1
Binary status data,Alarm about PLC changeover switch,1
Binary status data,Q1 close of PLC changeover switch,1
Binary status data,Q2 close of PLC changeover switch,1
Binary status data,Q1 trip of PLC changeover switch,1
Binary status data,Q2 trip of PLC changeover switch,1
Binary status data,Alarm about instrument changeover switch,1
Binary status data,Q1 close of instrument changeover switch,1
Binary status data,Q2 close of instrument changeover switch,1
Binary status data,Q1 trip of instrument changeover switch,1
Binary status data,Q2 trip of instrument changeover switch,1
Binary status data,Level-1 alarm about blast furnace main control room,1
Binary status data,Level-2 alarm about blast furnace main control room,1
Continuous time-series data,Temperature of Control Cabinet,1
Continuous time-series data,bakeout temperature of 1# tuyere,1
Continuous time-series data,bakeout temperature of 2# tuyere,1
Continuous time-series data,bakeout temperature of 3# tuyere,1
Continuous time-series data,bakeout temperature of 4# tuyere,1
Continuous time-series data,bakeout temperature of 5# tuyere,1
Continuous time-series data,bakeout temperature of 6# tuyere,1
Continuous time-series data,bakeout temperature of 7# tuyere,1
Continuous time-series data,bakeout temperature of 8# tuyere,1
Continuous time-series data,bakeout temperature of 9# tuyere,1
Continuous time-series data,bakeout temperature of 10# tuyere,1
Continuous time-series data,bakeout temperature of 11# tuyere,1
Continuous time-series data,bakeout temperature of 12# tuyere,1
Continuous time-series data,bakeout temperature of 13# tuyere,1
Continuous time-series data,bakeout temperature of 14# tuyere,1
Continuous time-series data,bakeout temperature of 15# tuyere,1
Continuous time-series data,bakeout temperature of 16# tuyere,1
Continuous time-series data,bakeout temperature of 17# tuyere,1
Continuous time-series data,bakeout temperature of 18# tuyere,1
Continuous time-series data,bakeout temperature of 19# tuyere,1
Continuous time-series data,bakeout temperature of 20# tuyere,1
Continuous time-series data,bakeout temperature of 21# tuyere,1
Continuous time-series data,bakeout temperature of 22# tuyere,1
Continuous time-series data,bakeout temperature of 23# tuyere,1
Continuous time-series data,bakeout temperature of 24# tuyere,1
Continuous time-series data,bakeout temperature of 25# tuyere,1
Continuous time-series data,bakeout temperature of 26# tuyere,1
Continuous time-series data,bakeout temperature of 27# tuyere,1
Continuous time-series data,bakeout temperature of 28# tuyere,1
Continuous time-series data,bakeout temperature of 29# tuyere,1
Continuous time-series data,bakeout temperature of 30# tuyere,1
Continuous time-series data,bakeout temperature of 31# tuyere,1
Continuous time-series data,bakeout temperature of 32# tuyere,1
Continuous time-series data,Zone 1 flow difference,1
Continuous time-series data,Zone 2 flow difference,1
Continuous time-series data,Zone 3 flow difference,1
Continuous time-series data,Zone 4 flow difference,1
Continuous time-series data,Zone 5 flow difference,1
Continuous time-series data,Zone 6 flow difference,1
Continuous time-series data,Zone 7 flow difference,1
Continuous time-series data,Zone 8 flow difference,1
Continuous time-series data,Zone 9 flow difference,1
Continuous time-series data,Zone 10 flow difference,1
Continuous time-series data,Zone 11 flow difference,1
Continuous time-series data,Zone 12 flow difference,1
Continuous time-series data,Zone 13 flow difference,1
Continuous time-series data,Flow rate of return water branch pipe in zone 1,1
Continuous time-series data,Pressure of return water branch pipe in zone 1,1
Continuous time-series data,Flow rate of return water branch pipe in zone 2,1
Continuous time-series data,Pressure of return water branch pipe in zone 2,1
Continuous time-series data,Flow rate of return water branch pipe in zone 3,1
Continuous time-series data,Pressure of return water branch pipe in zone 3,1
Continuous time-series data,Flow rate of return water branch pipe in zone 4,1
Continuous time-series data,Pressure of return water branch pipe in zone 4,1
Continuous time-series data,Flow Rate of return water branch pipe in zone 5,1
Continuous time-series data,Pressure of return water branch pipe in zone 5,1
Continuous time-series data,Flow rate of return water branch pipe in zone 6,1
Continuous time-series data,Pressure of return water branch pipe in zone 6,1
Continuous time-series data,Flow rate of return water branch pipe in zone 7,1
Continuous time-series data,Pressure of return water branch pipe in zone 7,1
Continuous time-series data,Flow rate of return water branch pipe in zone 8,1
Continuous time-series data,Pressure of return water branch pipe in zone 8,1
Continuous time-series data,Flow rate of return water branch pipe in zone 9,1
Continuous time-series data,Pressure of return water branch pipe in zone 9,1
Continuous time-series data,Flow rate of return water branch pipe in zone 10,1
Continuous time-series data,Pressure of return water branch pipe in zone 10,1
Continuous time-series data,Flow rate of return water branch pipe in zone 11,1
Continuous time-series data,Pressure of return water branch pipe in zone 11,1
Continuous time-series data,Flow rate of return water branch pipe in zone 12,1
Continuous time-series data,Pressure of return water branch pipe in zone 12,1
Continuous time-series data,Flow rate of return water branch pipe in zone 13,1
Continuous time-series data,Pressure of return water branch pipe in zone 13,1
Continuous time-series data,Flow rate of 1# main return water pipe,1
Continuous time-series data,Pressure of 1# main return water pipe,1
Continuous time-series data,Temperature of 1# main return water pipe,2
Continuous time-series data,Flow rate of 2# main return water pipe,1
Continuous time-series data,Pressure of 2# main return water pipe,1
Continuous time-series data,Temperature of 2# main return water pipe,2
Continuous time-series data,Flow rate of supply water branch pipe in zone 1,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 2,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 3,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 4,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 5,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 6,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 7,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 8,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 9,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 10,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 11,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 12,1
Continuous time-series data,Flow rate of supply water branch pipe in zone 13,1
Continuous time-series data,Water flow rate of inlet about stop-wind valve,1
Continuous time-series data,Water flow rate of outlet about stop-wind valve,1
Continuous time-series data,Water flow rate of inlet about 1# hot blast valve,1
Continuous time-series data,Water flow rate of outlet about 1# hot blast valve,1
Continuous time-series data,Water temperature of outlet about 1# hot blast valve,1
Continuous time-series data,Water flow rate of inlet about 2# hot blast valve,1
Continuous time-series data,Water flow rate of outlet about 2# hot blast valve,1
Continuous time-series data,Water temperature of outlet about 2# hot blast valve,1
Continuous time-series data,Water flow rate of inlet about 3# hot blast valve,1
Continuous time-series data,Water flow rate of outlet about 3# hot blast valve,1
Continuous time-series data,Water temperature of outlet about 3# hot blast valve,1
Continuous time-series data,Temperature of main return water pipe,1
Continuous time-series data,Flow rate of main return water pipe,1
Continuous time-series data,Temperature of main supply water pipe,1
Continuous time-series data,Pressure of main supply water pipe,1
Continuous time-series data,Flow rate of main supply water pipe,1
Continuous time-series data,Pressure of booster pump,1
Continuous time-series data,Flow rate of booster pump,1
Constraint data,Upper limit setpoint of water flow about main pipe inlet,1
Constraint data,Lower limit setpoint of water flow about main pipe inlet,1
Constraint data,Upper limit setpoint of return water flow about main pipe,1
Constraint data,Lower limit setpoint of return water flow about main pipe,1
Constraint data,Upper limit setpoint of water pressure about main pipe inlet,1
Constraint data,Lower limit setpoint of water pressure about main pipe inlet,1
Constraint data,Upper limit setpoint of water temperature about main pipe inlet,1
Constraint data,Lower limit setpoint of water temperature about main pipe inlet,1
Constraint data,Lower limit setpoint of water supply flow about stop-wind valve,1
Constraint data,Lower limit setpoint of return water flow about stop-wind valve,1
Constraint data,Lower limit setpoint of water supply flow about 1# hot blast valve,1
Constraint data,Lower limit setpoint of water supply flow about 2# hot blast valve,1
Constraint data,Lower limit setpoint of water supply flow about 3# hot blast valve,1
Constraint data,Lower limit setpoint of return water flow about 1# hot blast valve,1
Constraint data,Lower limit setpoint of return water flow about 2# hot blast valve,1
Constraint data,Lower limit setpoint of return water flow about 3# hot blast valve,1
Constraint data,Upper limit setpoint of return water temperature about 1# hot blast valve,1
Constraint data,Upper limit setpoint of return water temperature about 2# hot blast valve,1
Constraint data,Upper limit setpoint of return water temperature about 3# hot blast valve,1
Constraint data,Upper limit setpoint of pressure about expansion tank,1
Constraint data,Lower limit setpoint of pressure about expansion tank,1
Constraint data,Upper limit setpoint of temperature about expansion tank,1
Continuous time-series data,Temperature of 1# main pipe,2
Continuous time-series data,Flow rate of 1# main pipe,2
Continuous time-series data,Pressure of 1# main pipe,1
Continuous time-series data,Temperature of 2# main pipe,2
Continuous time-series data,Flow rate of 2# main pipe,2
Continuous time-series data,Pressure of 2# main pipe,1
Continuous time-series data,Pressure of return water ring pipe,1
Continuous time-series data,Temperature of return water ring pipe,1
Continuous time-series data,Pressure of return water pipe about 1# “tuyere – outer”,1
Continuous time-series data,Flow rate of return water pipe about 1# “tuyere – outer”,1
Continuous time-series data,Temperature of return water pipe about 1# “tuyere – outer”,1
Continuous time-series data,Pressure of return water pipe about 2# “tuyere – outer”,1
Continuous time-series data,Flow rate of return water pipe about 2# “tuyere – outer”,1
Continuous time-series data,Temperature of return water pipe about 2# “tuyere – outer”,1
Continuous time-series data,Pressure of return water pipe about 1# “tuyere – midrange”,1
Continuous time-series data,Flow rate of return water pipe about 1# “tuyere –midrange”,1
Continuous time-series data,Temperature of return water pipe about 1# “tuyere –midrange”,1
Continuous time-series data,Pressure of return water pipe about 2# “tuyere – midrange”,1
Continuous time-series data,Flow rate of return water pipe about 2# “tuyere –midrange”,1
Continuous time-series data,Temperature of return water pipe about 2# “tuyere –midrange”,1
Continuous time-series data,Pressure of return water pipe about 3# “tuyere – midrange”,1
Continuous time-series data,Flow rate of return water pipe about 3# “tuyere –midrange”,1
Continuous time-series data,Temperature of return water pipe about 3# “tuyere –midrange”,1
Continuous time-series data,Pressure of return water pipe about 4# “tuyere – midrange”,1
Continuous time-series data,Flow rate of return water pipe about 4# “tuyere –midrange”,1
Continuous time-series data,Temperature of return water pipe about 4# “tuyere –midrange”,1
Continuous time-series data,Pressure of furnace front water supply pipe,1
Continuous time-series data,Flow rate of furnace front water supply pipe,1
Continuous time-series data,Pressure of supply water ring pipe,1
Continuous time-series data,Temperature of supply water ring pipe,1
Continuous time-series data,Pressure of furnace bottom water-cooled pipe,1
Continuous time-series data,Flow rate of furnace bottom water-cooled pipe,1
Continuous time-series data,Pressure of supply water pipe about 1# “tuyere – outer”,1
Continuous time-series data,Flow rate of supply water pipe about 1# “tuyere – outer”,1
Continuous time-series data,Temperature of supply water pipe about 1# “tuyere – outer”,1
Continuous time-series data,Pressure of supply water pipe about 2# “tuyere – outer”,1
Continuous time-series data,Flow rate of supply water pipe about 2# “tuyere – outer”,1
Continuous time-series data,Temperature of supply water pipe about 2# “tuyere – outer”,1
Continuous time-series data,Flow Rate of 1# bypass pipe,1
Continuous time-series data,Flow Rate of 2# bypass pipe,1
Continuous time-series data,Flow rate of supply water pipe about 1# “tuyere –midrange”,1
Continuous time-series data,Flow rate of supply water pipe about 2# “tuyere –midrange”,1
Continuous time-series data,Flow rate of supply water pipe about 3# “tuyere –midrange”,1
Continuous time-series data,Flow rate of supply water pipe about 4# “tuyere –midrange”,1
Continuous time-series data,Water flow rate of inlet about “1#→8#” tuyere,1
Continuous time-series data,Water flow rate of inlet about “9#→16#” tuyere,1
Continuous time-series data,Water flow rate of inlet about “17#→24#” tuyere,1
Continuous time-series data,Water flow rate of inlet about “25#→32#” tuyere,1
Continuous time-series data,Pressure of 1# main water supply pipe,1
Continuous time-series data,Flow rate of 1# main water supply pipe,1
Continuous time-series data,Temperature of 1# main water supply pipe,1
Continuous time-series data,Pressure of 2# main water supply pipe,1
Continuous time-series data,Flow rate of 2# main water supply pipe,1
Continuous time-series data,Temperature of 2# main water supply pipe,1
Continuous time-series data,Flow rate of cooling water supply pipe about 1# furnace throat steel brick,1
Continuous time-series data,Flow rate of cooling water supply pipe about 2# furnace throat steel brick,1
Continuous time-series data,Flow rate of furnace top water injection,3
Batch time-series data,Tumbler index,2
Batch time-series data,Screening index,1
Batch time-series data,Abrasion index,2
Batch time-series data,Compressive strength,1
Batch time-series data,TFe/Iron grade,2
Batch time-series data,FeO content,3
Batch time-series data,CaO content,3
Batch time-series data,MgO content,3
Batch time-series data,Al2O3 content,3
Batch time-series data,SiO2 content,3
Batch time-series data,R2/Binary basicity,3
Batch time-series data,TiO2 content,3
Batch time-series data,P content,3
Batch time-series data,Moisture content,2
Batch time-series data,Calorific value,1
Batch time-series data,Mad (Air-dried basis moisture),2
Batch time-series data,H2O content,2
Batch time-series data,R200 (Proportion of fine particles),1
Batch time-series data,Carbon content,2
Batch time-series data,A (Ash content),2
Batch time-series data,V (Volatile matter content),2
Batch time-series data,Sulfur content,2
Batch time-series data,M40 (Proportion of fine particles),1
Batch time-series data,M10 (Proportion of fine particles),1
Batch time-series data,CRI (Reactivity index),1
Batch time-series data,CSR (Strength after reaction),1
Continuous time-series data,Proportion of <5mm,2
Continuous time-series data,Proportion of 5~8mm,1
Continuous time-series data,Proportion of 8~10mm,1
Continuous time-series data,Proportion of 10~12.5mm,1
Continuous time-series data,Proportion of 12.5~16mm,1
Continuous time-series data,Proportion of >16mm,1
Continuous time-series data,Average particle size,3
Image data,Additional storage templates,5
Continuous time-series data,Proportion of <25mm,1
Continuous time-series data,Proportion of 25~40mm,2
Continuous time-series data,Proportion of 40~60mm,1
Continuous time-series data,Proportion of 60~80mm,1
Continuous time-series data,Proportion of >80mm,1
Continuous time-series data,Proportion of 5~10mm,1
Continuous time-series data,Proportion of 10~16mm,1
Continuous time-series data,Proportion of 16~25mm,1
Continuous time-series data,Proportion of >40mm,1
Continuous time-series data,Pressure of hydraulic station at furnace top,1
Continuous time-series data,Pressure of hydraulic station at ore hopper,1
Continuous time-series data,Temperature of upper seal valve,1
Continuous time-series data,Temperature of lower seal valve,1
Continuous time-series data,Flow rate of nitrogen about gas-tight box,2
Continuous time-series data,Temperature of valve box,3
Continuous time-series data,Liquid level of hydraulic station at furnace top,1
Continuous time-series data,Liquid level of hydraulic station at ore hopper,1
Continuous time-series data,Flow rate of circulation water about gas-tight box,1
Continuous time-series data,Temperature A of gas-tight box,2
Continuous time-series data,Temperature B of gas-tight box,2
Continuous time-series data,Temperature C of gas-tight box,2
Discrete time-series data,Weight of 1# feed bin (Silica stone),1
Discrete time-series data,Weight of 2# feed bin (Manganese ore),1
Discrete time-series data,Weight of 3# feed bin (Lump ore),1
Discrete time-series data,Weight of 4# feed bin (Lump ore),1
Discrete time-series data,Weight of 5# feed bin (Pellet),1
Discrete time-series data,Weight of 6# feed bin (Pellet),1
Discrete time-series data,Weight of 7# feed bin (Pellet),1
Discrete time-series data,Weight of 8# feed bin (Pellet),1
Discrete time-series data,Weight of 9# feed bin (Pellet),1
Discrete time-series data,Weight of 10# feed bin (Pellet),1
Discrete time-series data,Weight of 11# feed bin (Sinter),1
Discrete time-series data,Weight of 12# feed bin (Sinter),1
Discrete time-series data,Weight of 13# feed bin (Sinter),1
Discrete time-series data,Weight of 14# feed bin (Sinter),1
Discrete time-series data,Weight of 15# feed bin (Sinter),1
Discrete time-series data,Weight of 16# feed bin (Sinter),1
Discrete time-series data,Weight of 1# feed bin,1
Discrete time-series data,Weight of 2# feed bin,1
Discrete time-series data,Weight of 3# feed bin,1
Discrete time-series data,Weight of 4# feed bin,1
Discrete time-series data,Weight of 5# feed bin,1
Discrete time-series data,Weight of 6# feed bin,1
Discrete time-series data,Weight of 7# feed bin (Nut coke),1
Discrete time-series data,Times of coke insertion per day,1
Discrete time-series data,Batch loading count of ore,1
Discrete time-series data,Batch loading count of coke,1
Discrete time-series data,Delay of ore discharge,1
Discrete time-series data,Delay of nut coke discharge,1
Controllable data,Operation mode of charging,1
Controllable data,Type of central charging - coke,1
Controllable data,Prohibition mode of coke charging,1
Controllable data,Prohibition mode of coal insertion,1
Controllable data,Type of central charging - ore,1
Controllable data,Prohibition mode of ore charging,1
Controllable data,Prohibition Mode of materials discharging,1
Controllable data,Unlock about belt and gate,1
Controllable data,Furnace top reset,1
Binary status data,Material-chasing mode at furnace top,1
Binary status data,Manual mode of material request,1
Binary status data,Prohibition Mode of materials discharging,1
Continuous time-series data,Number of charging rounds,2
Continuous time-series data,Rotation speed of charging rounds,1
Continuous time-series data,Stepping angle,1
Continuous time-series data,Reversal batch count,1
Discrete time-series data,Daily total batch loading count of ore,1
Discrete time-series data,Previous day total batch loading count of ore,1
Discrete time-series data,Daily total batch loading count of coke,1
Discrete time-series data,Previous day total batch loading count of coke,1
Continuous time-series data,Height of left probe,1
Continuous time-series data,Height of right probe,1
Continuous time-series data,Current of left probe,1
Continuous time-series data,Current of right probe,1
Discrete time-series data,Upper limit value of height about left probe,1
Discrete time-series data,Upper limit value of height about right probe,1
Discrete time-series data,Lower limit value of height about left probe,1
Discrete time-series data,Lower limit value of height about right probe,1
Constraint data,Gear of α-1,2
Constraint data,Gear of α-2,2
Constraint data,Gear of α-3,2
Constraint data,Gear of α-4,2
Constraint data,Gear of α-5,2
Constraint data,Gear of α-6,2
Constraint data,Gear of α-7,2
Constraint data,Gear of α-8,2
Constraint data,Gear of α-9,2
Constraint data,Gear of α-10,2
Constraint data,Gear of α-11,2
Constraint data,Gear of α-12,2
Constraint data,Gear of β-1,2
Constraint data,Gear of β-2,2
Constraint data,Gear of β-3,2
Constraint data,Gear of β-4,2
Constraint data,Gear of β-5,2
Constraint data,Gear of β-6,2
Constraint data,Gear of β-7,2
Constraint data,Gear of β-8,2
Constraint data,Gear of β-9,2
Constraint data,Gear of β-10,2
Constraint data,Gear of β-11,2
Constraint data,Gear of β-12,2
Constraint data,Weight of gear 1,2
Constraint data,Weight of gear 2,2
Constraint data,Weight of gear 3,2
Constraint data,Weight of gear 4,2
Constraint data,Weight of gear 5,2
Constraint data,Weight of gear 6,2
Constraint data,Weight of gear 7,2
Constraint data,Weight of gear 8,2
Constraint data,Weight of gear 9,2
Constraint data,Weight of gear 10,2
Constraint data,Weight of gear 11,2
Constraint data,Weight of gear 12,2
Continuous time-series data,1# Ring-Temperature monitoring value - A1,1
Continuous time-series data,1# Ring-Temperature monitoring value – A2,1
Continuous time-series data,1# Ring-Temperature monitoring value – A3,1
Continuous time-series data,1# Ring-Temperature monitoring value – A4,1
Continuous time-series data,2# Ring-Temperature monitoring value - B1,1
Continuous time-series data,2# Ring-Temperature monitoring value – B2,1
Continuous time-series data,2# Ring-Temperature monitoring value – B3,1
Continuous time-series data,2# Ring-Temperature monitoring value – B4,1
Discrete time-series data,Temperature of hot metal about 1# taphole,1
Discrete time-series data,Temperature of hot metal about 2# taphole,1
Discrete time-series data,Temperature of hot metal about 3# taphole,1
Discrete time-series data,Temperature of hot metal about 4# taphole,1
Batch time-series data,Temperature of 1# taphole,1
Batch time-series data,Temperature of 2# taphole,1
Batch time-series data,Temperature of 3# taphole,1
Batch time-series data,Temperature of 4# taphole,1
Batch time-series data,Opening time of 1# taphole,1
Batch time-series data,Slag arrival time of 1# taphole,1
Batch time-series data,blockage time of 1# taphole,1
Batch time-series data,Slag appearance rate of 1# taphole,1
Batch time-series data,Physical heat of 1# taphole,1
Batch time-series data,Total tapping time of 1# taphole,1
Batch time-series data,Diameter of 1# taphole,1
Batch time-series data,Angle of 1# taphole,1
Batch time-series data,Depth of 1# taphole,1
Batch time-series data,Mud amount injected of 1# taphole,1
Batch time-series data,Drill bit diameter of 1# taphole,1
Batch time-series data,Temperature of hot metal at 1# taphole,1
Batch time-series data,Previous temperature of hot metal at 1# taphole,1
Batch time-series data,Estimated yield of hot metal about 1# taphole,1
Batch time-series data,Total weight through the pump at 1# taphole,1
Batch time-series data,Yield deviation of hot metal at 1# taphole,1
Batch time-series data,Estimated slag volume about 1# taphole,1
Batch time-series data,Opening time of 2# taphole,1
Batch time-series data,Slag arrival time of 2# taphole,1
Batch time-series data,blockage time of 2# taphole,1
Batch time-series data,Slag appearance rate of 2# taphole,1
Batch time-series data,Physical heat of 2# taphole,1
Batch time-series data,Total tapping time of 2# taphole,1
Batch time-series data,Diameter of 2# taphole,1
Batch time-series data,Angle of 2# taphole,1
Batch time-series data,Depth of 2# taphole,1
Batch time-series data,Mud amount injected of 2# taphole,1
Batch time-series data,Drill bit diameter of 2# taphole,1
Batch time-series data,Temperature of hot metal at 2# taphole,1
Batch time-series data,Previous temperature of hot metal at 2# taphole,1
Batch time-series data,Estimated yield of hot metal about 2# taphole,1
Batch time-series data,Total weight through the pump at 2# taphole,1
Batch time-series data,Yield deviation of hot metal at 2# taphole,1
Batch time-series data,Estimated slag volume about 2# taphole,1
Batch time-series data,Opening time of 3# taphole,1
Batch time-series data,Slag arrival time of 3# taphole,1
Batch time-series data,blockage time of 3# taphole,1
Batch time-series data,Slag appearance rate of 3# taphole,1
Batch time-series data,Physical heat of 3# taphole,1
Batch time-series data,Total tapping time of 3# taphole,1
Batch time-series data,Diameter of 3# taphole,1
Batch time-series data,Angle of 3# taphole,1
Batch time-series data,Depth of 3# taphole,1
Batch time-series data,Mud amount injected of 3# taphole,1
Batch time-series data,Drill bit diameter of 3# taphole,1
Batch time-series data,Temperature of hot metal at 3# taphole,1
Batch time-series data,Previous temperature of hot metal at 3# taphole,1
Batch time-series data,Estimated yield of hot metal about 3# taphole,1
Batch time-series data,Total weight through the pump at 3# taphole,1
Batch time-series data,Yield deviation of hot metal at 3# taphole,1
Batch time-series data,Estimated slag volume about 3# taphole,1
Batch time-series data,Opening time of 4# taphole,1
Batch time-series data,Slag arrival time of 4# taphole,1
Batch time-series data,blockage time of 4# taphole,1
Batch time-series data,Slag appearance rate of 4# taphole,1
Batch time-series data,Physical heat of 4# taphole,1
Batch time-series data,Total tapping time of 4# taphole,1
Batch time-series data,Diameter of 4# taphole,1
Batch time-series data,Angle of 4# taphole,1
Batch time-series data,Depth of 4# taphole,1
Batch time-series data,Mud amount injected of 4# taphole,1
Batch time-series data,Drill bit diameter of 4# taphole,1
Batch time-series data,Temperature of hot metal at 4# taphole,1
Batch time-series data,Previous temperature of hot metal at 4# taphole,1
Batch time-series data,Estimated yield of hot metal about 4# taphole,1
Batch time-series data,Total weight through the pump at 4# taphole,1
Batch time-series data,Yield deviation of hot metal at 4# taphole,1
Batch time-series data,Estimated slag volume about 4# taphole,1
Batch time-series data,Si content,1
