source,target,value
Raw material system - Laboratory - Pellet performance testing,Text data,1
Raw material system - Laboratory - Pellet composition detection,Batch time-series data,10
Raw material system - Laboratory - Pellet composition detection,Text data,1
Raw material system - Laboratory - Pulverized coal performance testing,Batch time-series data,4
Raw material system - Laboratory - Pulverized coal performance testing,Text data,1
Raw material system - Laboratory - Pulverized coal composition detection,Batch time-series data,4
Raw material system - Laboratory - Pulverized coal composition detection,Text data,1
Raw material system - Laboratory - Coke performance testing,Batch time-series data,6
Raw material system - Laboratory - Coke performance testing,Text data,1
Raw material system - Laboratory - Coke composition detection,Batch time-series data,4
Raw material system - Laboratory - Coke composition detection,Text data,1
Raw material system - Industrial camera - Pellet particle size recognition,Continuous time-series data,7
Raw material system - Industrial camera - Pellet particle size recognition,Image data,1
Raw material system - Industrial camera - Pellet particle size recognition,Text data,1
Raw material system - Industrial camera - Coke particle size recognition,Continuous time-series data,6
Raw material system - Industrial camera - Coke particle size recognition,Image data,1
Raw material system - Industrial camera - Coke particle size recognition,Text data,1
Raw material system - Industrial camera - Mixed ore particle size recognition,Continuous time-series data,7
Raw material system - Industrial camera - Mixed ore particle size recognition,Image data,1
Raw material system - Industrial camera - Mixed ore particle size recognition,Text data,1
Ore bin system - Hydraulic station - Operation monitoring,Continuous time-series data,6
Ore bin system - Hydraulic station - Operation monitoring,Text data,1
Ore bin system - Airtight box - Operation monitoring,Continuous time-series data,6
Ore bin system - Airtight box - Operation monitoring,Text data,1
Ore bin system - Ore hopper - Operation monitoring,Discrete time-series data,16
Ore bin system - Ore hopper - Operation monitoring,Text data,1
Ore bin system - Coke hopper - Operation monitoring,Discrete time-series data,7
Ore bin system - Coke hopper - Operation monitoring,Text data,1
Ore bin system - Regulating valve group - Charging mode control,Discrete time-series data,5
Ore bin system - Regulating valve group - Charging mode control,Controllable data,9
Ore bin system - Regulating valve group - Charging mode control,Text data,1
Charging system - Rotating chute - Operation monitoring,Binary status data,3
Charging system - Rotating chute - Operation monitoring,Continuous time-series data,4
Charging system - Rotating chute - Operation monitoring,Discrete time-series data,4
Charging system - Rotating chute - Operation monitoring,Text data,1
Charging system - Stock rod - Operation monitoring,Continuous time-series data,4
Charging system - Stock rod - Operation monitoring,Discrete time-series data,4
Charging system - Stock rod - Operation monitoring,Text data,1
Charging system - Hopper - Ore charging scheme configuration,Constraint data,36
Charging system - Hopper - Ore charging scheme configuration,Text data,1
Charging system - Hopper - Coke charging scheme configuration,Constraint data,36
Charging system - Hopper - Coke charging scheme configuration,Text data,1
Charging system - Industrial camera - Stock surface recognition,Continuous time-series data,8
Charging system - Industrial camera - Stock surface recognition,Image data,1
Charging system - Industrial camera - Stock surface recognition,Text data,1
Tapping system - Hot metal ladle - Operation monitoring,Discrete time-series data,4
Tapping system - Hot metal ladle - Operation monitoring,Text data,1
Tapping system - Taphole - Operation monitoring,Batch time-series data,72
Tapping system - Taphole - Operation monitoring,Text data,1
Tapping system - Laboratory - Hot metal composition detection,Batch time-series data,9
Tapping system - Laboratory - Hot metal composition detection,Text data,1
Tapping system - Laboratory - Slag composition detection,Batch time-series data,12
Tapping system - Laboratory - Slag composition detection,Text data,1
Pulverized coal injection system - Coal injection pipeline - Operation monitoring,Continuous time-series data,37
Pulverized coal injection system - Coal injection pipeline - Operation monitoring,Text data,1
Pulverized coal injection system - Coal injection pipeline - Pulverized coal flow control,Continuous time-series data,3
Pulverized coal injection system - Coal injection pipeline - Pulverized coal flow control,Discrete time-series data,2
Pulverized coal injection system - Coal injection pipeline - Pulverized coal flow control,Controllable data,1
Pulverized coal injection system - Coal injection pipeline - Pulverized coal flow control,Text data,1
Gas system - Gas analyzer - Composition detection,Continuous time-series data,6
Gas system - Gas analyzer - Composition detection,Text data,1
Furnace top system - Integrated terminal - Operation monitoring,Continuous time-series data,28
Furnace top system - Integrated terminal - Operation monitoring,Discrete time-series data,4
Furnace top system - Integrated terminal - Operation monitoring,Text data,1
Furnace top system - Steam pipeline - Operation monitoring,Continuous time-series data,4
Furnace top system - Steam pipeline - Operation monitoring,Text data,1
Furnace top system - Hydraulic station - Operation monitoring,Binary status data,27
Furnace top system - Hydraulic station - Operation monitoring,Continuous time-series data,11
Furnace top system - Hydraulic station - Operation monitoring,Text data,1
Furnace top system - Pressure valve group - Pressure control,Binary status data,11
Furnace top system - Pressure valve group - Pressure control,Controllable data,4
Furnace top system - Pressure valve group - Pressure control,Text data,1
Furnace top system - Pressure regulator - Operation monitoring,Continuous time-series data,3
Furnace top system - Pressure regulator - Operation monitoring,Text data,1
Furnace top system - Pressure regulator - System configuration,Constraint data,6
Furnace top system - Pressure regulator - System configuration,Text data,1
Furnace top system - Ascension pipe - Operation monitoring,Continuous time-series data,6
Furnace top system - Ascension pipe - Operation monitoring,Text data,1
Furnace top system - Airtight box - Operation monitoring,Binary status data,15
Furnace top system - Airtight box - Operation monitoring,Continuous time-series data,16
Furnace top system - Airtight box - Operation monitoring,Discrete time-series data,4
Furnace top system - Airtight box - Operation monitoring,Text data,1
Furnace top system - Throat cross temperature measuring device - Operation monitoring,Continuous time-series data,29
Furnace top system - Throat cross temperature measuring device - Operation monitoring,Text data,1
Furnace top system - Furnace top pressure monitor - Operation monitoring,Continuous time-series data,4
Furnace top system - Furnace top pressure monitor - Operation monitoring,Text data,1
Furnace top system - Furnace top pressure valve group - Pressure control,Discrete time-series data,5
Furnace top system - Furnace top pressure valve group - Pressure control,Controllable data,4
Furnace top system - Furnace top pressure valve group - Pressure control,Text data,1
Furnace top system - Backblow valve group - Mode control,Controllable data,5
Furnace top system - Backblow valve group - Mode control,Text data,1
Furnace top system - Main relief valve group - Operation monitoring,Binary status data,15
Furnace top system - Main relief valve group - Operation monitoring,Continuous time-series data,5
Furnace top system - Main relief valve group - Operation monitoring,Discrete time-series data,1
Furnace top system - Main relief valve group - Operation monitoring,Text data,1
Furnace top system - Water injection pipeline - Operation monitoring,Continuous time-series data,1
Furnace top system - Water injection pipeline - Operation monitoring,Discrete time-series data,3
Furnace top system - Water injection pipeline - Operation monitoring,Text data,1
Furnace top system - Water injection valve group - Operation monitoring,Binary status data,8
Furnace top system - Water injection valve group - Operation monitoring,Continuous time-series data,3
Furnace top system - Water injection valve group - Operation monitoring,Text data,1
Furnace top system - Water injection valve group - System configuration,Binary status data,2
Furnace top system - Water injection valve group - System configuration,Discrete time-series data,2
Furnace top system - Water injection valve group - System configuration,Constraint data,4
Furnace top system - Water injection valve group - System configuration,Text data,1
Blast furnace system - Pressure monitor - Furnace body pressure difference monitoring,Continuous time-series data,5
Blast furnace system - Pressure monitor - Furnace body pressure difference monitoring,Text data,1
Blast furnace system - Pressure monitor - Furnace body static pressure monitoring,Continuous time-series data,16
Blast furnace system - Pressure monitor - Furnace body static pressure monitoring,Text data,1
Blast furnace system - Production daily report - Theoretical material consumption calculation,Discrete time-series data,8
Blast furnace system - Production daily report - Theoretical material consumption calculation,Text data,1
Blast furnace system - Production daily report - Operational material consumption monitoring,Discrete time-series data,10
Blast furnace system - Production daily report - Operational material consumption monitoring,Text data,1
Blast furnace system - Production daily report - Burden structure operational monitoring,Discrete time-series data,20
Blast furnace system - Production daily report - Burden structure operational monitoring,Text data,1
Blast furnace system - Production daily report - Key parameter operational monitoring,Discrete time-series data,15
Blast furnace system - Production daily report - Key parameter operational monitoring,Text data,1
Blast furnace system - Production daily report - Tuyere equipment operational monitoring,Discrete time-series data,96
Blast furnace system - Production daily report - Tuyere equipment operational monitoring,Text data,1
Blast furnace system - Production daily report - Output index operational monitoring,Discrete time-series data,4
Blast furnace system - Production daily report - Output index operational monitoring,Text data,1
Blast furnace system - Production daily report - Charging system configuration,Constraint data,6
Blast furnace system - Production daily report - Charging system configuration,Text data,1
Blast furnace system - Thermocouple - Furnace body cooling stave temperature monitoring,Continuous time-series data,160
Blast furnace system - Thermocouple - Furnace body cooling stave temperature monitoring,Text data,1
Blast furnace system - Thermocouple - Furnace hearth side wall temperature monitoring,Continuous time-series data,32
Blast furnace system - Thermocouple - Furnace hearth side wall temperature monitoring,Text data,1
Blast furnace system - Thermocouple - Furnace lining side wall temperature monitoring,Continuous time-series data,62
Blast furnace system - Thermocouple - Furnace lining side wall temperature monitoring,Text data,1
Blast furnace system - Integrated terminal - Operation monitoring,Binary status data,4
Blast furnace system - Integrated terminal - Operation monitoring,Continuous time-series data,104
Blast furnace system - Integrated terminal - Operation monitoring,Response data,8
Blast furnace system - Integrated terminal - Operation monitoring,Text data,1
Oxygen enrichment system - Oxygen enrichment pipeline - Operation monitoring,Binary status data,1
Oxygen enrichment system - Oxygen enrichment pipeline - Operation monitoring,Continuous time-series data,5
Oxygen enrichment system - Oxygen enrichment pipeline - Operation monitoring,Text data,1
Oxygen enrichment system - Regulating valve group - Flow control,Binary status data,5
Oxygen enrichment system - Regulating valve group - Flow control,Controllable data,5
Oxygen enrichment system - Regulating valve group - Flow control,Text data,1
Blast supply system - Industrial camera - Tuyere status monitoring,Image data,1
Blast supply system - Industrial camera - Tuyere status monitoring,Text data,1
Continuous time-series data,1# Slag yard - Pressure of 1# filtering branch pipe,1
Continuous time-series data,1# Slag yard - Pressure of 2# filtering branch pipe,1
Continuous time-series data,1# Slag yard - Pressure of 1# Slag flushing branch pipe,1
Continuous time-series data,1# Slag yard - Pressure of 2# Slag flushing branch pipe,1
Continuous time-series data,1# Slag yard - Temperature of outlet pipe in hot water pump group,1
Continuous time-series data,1# Slag yard - Pressure of outlet pipe in hot water pump group,1
Continuous time-series data,1# Slag yard - Flow rate of outlet pipe in hot water pump group,1
Continuous time-series data,1# Slag yard - Temperature of outlet pipe in slag flushing pump group,1
Continuous time-series data,1# Slag yard - Pressure of outlet pipe in slag flushing pump group,1
Continuous time-series data,1# Slag yard - Flow rate of outlet pipe in slag flushing pump group,1
Continuous time-series data,2# Slag yard - Pressure of 1# filtering branch pipe,1
Continuous time-series data,2# Slag yard - Pressure of 2# filtering branch pipe,1
Continuous time-series data,2# Slag yard - Pressure of 1# Slag flushing branch pipe,1
Continuous time-series data,2# Slag yard - Pressure of 2# Slag flushing branch pipe,1
Continuous time-series data,2# Slag yard - Temperature of outlet pipe in hot water pump group,1
Continuous time-series data,2# Slag yard - Pressure of outlet pipe in hot water pump group,1
Continuous time-series data,2# Slag yard - Flow rate of outlet pipe in hot water pump group,1
Continuous time-series data,2# Slag yard - Temperature of outlet pipe in slag flushing pump group,1
Continuous time-series data,2# Slag yard - Pressure of outlet pipe in slag flushing pump group,1
Continuous time-series data,2# Slag yard - Flow rate of outlet pipe in slag flushing pump group,1
Discrete time-series data,1# Slag yard - Flow rate of production water,1
Discrete time-series data,1# Slag yard - Flow rate of concentrated brine,1
Discrete time-series data,1# Slag yard - Daily accumulated value of flow rate of production water,1
Discrete time-series data,1# Slag yard - Daily accumulated value of flow rate of concentrated brine,1
Discrete time-series data,2# Slag yard - Flow rate of production water,1
Discrete time-series data,2# Slag yard - Flow rate of concentrated brine,1
Discrete time-series data,2# Slag yard - Daily accumulated value of flow rate of production water,1
Discrete time-series data,2# Slag yard - Daily accumulated value of flow rate of concentrated brine,1
Text data,Additional storage templates,98
Continuous time-series data,1# Slag yard - 1# Pump motor - Temperature of front shaft,1
Continuous time-series data,1# Slag yard - 1# Pump motor - Temperature of rear shaft,1
Continuous time-series data,1# Slag Yard - 1# Pump Motor - Temperature of stator A,1
Continuous time-series data,1# Slag yard - 1# Pump motor - Temperature of stator B,1
Continuous time-series data,1# Slag yard - 1# Pump motor - Temperature of stator C,1
Continuous time-series data,1# Slag yard - 2# Pump motor - Temperature of front shaft,1
Continuous time-series data,1# Slag yard - 2# Pump motor - Temperature of rear shaft,1
Continuous time-series data,1# Slag Yard - 2# Pump Motor - Temperature of stator A,1
Continuous time-series data,1# Slag yard - 2# Pump motor - Temperature of stator B,1
Continuous time-series data,1# Slag yard - 2# Pump motor - Temperature of stator C,1
Continuous time-series data,1# Slag yard - 3# Pump motor - Temperature of front shaft,1
Continuous time-series data,1# Slag yard - 3# Pump motor - Temperature of rear shaft,1
Continuous time-series data,1# Slag Yard - 3# Pump Motor - Temperature of stator A,1
Continuous time-series data,1# Slag yard - 3# Pump motor - Temperature of stator B,1
Continuous time-series data,1# Slag yard - 3# Pump motor - Temperature of stator C,1
Continuous time-series data,1# Slag yard - 4# Pump motor - Temperature of front shaft,1
Continuous time-series data,1# Slag yard - 4# Pump motor - Temperature of rear shaft,1
Continuous time-series data,1# Slag Yard - 4# Pump Motor - Temperature of stator A,1
Continuous time-series data,1# Slag yard - 4# Pump motor - Temperature of stator B,1
Continuous time-series data,1# Slag yard - 4# Pump motor - Temperature of stator C,1
Continuous time-series data,2# Slag yard - 1# Pump motor - Temperature of front shaft,1
Continuous time-series data,2# Slag yard - 1# Pump motor - Temperature of rear shaft,1
Continuous time-series data,2# Slag Yard - 1# Pump Motor - Temperature of stator A,1
Continuous time-series data,2# Slag yard - 1# Pump motor - Temperature of stator B,1
Continuous time-series data,2# Slag yard - 1# Pump motor - Temperature of stator C,1
Continuous time-series data,2# Slag yard - 2# Pump motor - Temperature of front shaft,1
Continuous time-series data,2# Slag yard - 2# Pump motor - Temperature of rear shaft,1
Continuous time-series data,2# Slag Yard - 2# Pump Motor - Temperature of stator A,1
Continuous time-series data,2# Slag yard - 2# Pump motor - Temperature of stator B,1
Continuous time-series data,2# Slag yard - 2# Pump motor - Temperature of stator C,1
Continuous time-series data,2# Slag yard - 3# Pump motor - Temperature of front shaft,1
Continuous time-series data,2# Slag yard - 3# Pump motor - Temperature of rear shaft,1
Continuous time-series data,2# Slag Yard - 3# Pump Motor - Temperature of stator A,1
Continuous time-series data,2# Slag yard - 3# Pump motor - Temperature of stator B,1
Continuous time-series data,2# Slag yard - 3# Pump motor - Temperature of stator C,1
Continuous time-series data,2# Slag yard - 4# Pump motor - Temperature of front shaft,1
Continuous time-series data,2# Slag yard - 4# Pump motor - Temperature of rear shaft,1
Continuous time-series data,2# Slag Yard - 4# Pump Motor - Temperature of stator A,1
Continuous time-series data,2# Slag yard - 4# Pump motor - Temperature of stator B,1
Continuous time-series data,2# Slag yard - 4# Pump motor - Temperature of stator C,1
Continuous time-series data,1# Slag yard - Temperature of 1# cooling tower,1
Continuous time-series data,1# Slag yard - Temperature of 2# cooling tower,1
Continuous time-series data,1# Slag yard - Temperature of 3# cooling tower,1
Continuous time-series data,1# Slag yard - Temperature of 4# cooling tower,1
Continuous time-series data,1# Slag yard - Liquid level of 1# cooling tower,1
Continuous time-series data,1# Slag yard - Liquid level of 2# cooling tower,1
Continuous time-series data,1# Slag yard - Liquid level of 3# cooling tower,1
Continuous time-series data,1# Slag yard - Liquid level of 4# cooling tower,1
Continuous time-series data,1# Slag yard - Flow rate of 1# cooling tower,1
Continuous time-series data,1# Slag yard - Flow rate of 2# cooling tower,1
Continuous time-series data,1# Slag yard - Flow rate of 3# cooling tower,1
Continuous time-series data,1# Slag yard - Flow rate of 4# cooling tower,1
Continuous time-series data,1# Slag yard - Current of 1# cooling tower,1
